"Var1","Var2","value"
"S13","Wrangell",5.54863077020542e-06
"S20","Wrangell",1.62902043873903e-05
"S17","Wrangell",9.83988754686454e-06
"N15","Wrangell",4.49825346639538e-06
"S22","Wrangell",0.000102413247598516
"N20","Wrangell",4.40093113419569e-06
"N14","Wrangell",4.34234474947137e-06
"N16","Wrangell",3.99775310929625e-06
"N23","Wrangell",5.99678089340307e-06
"N22","Wrangell",4.5995004514805e-06
"N13","Wrangell",5.61157307555885e-06
"N18","Wrangell",5.15299040342854e-06
"N27","Wrangell",2.84964430988676e-06
"N21","Wrangell",3.86891868246229e-06
"N26","Wrangell",3.40905687950189e-06
"N25","Wrangell",3.5853761722163e-06
"N24","Wrangell",3.84644523102783e-06
"N17","Wrangell",6.68845386166875e-06
"N12","Wrangell",6.68318021983962e-06
"N19","Wrangell",8.99361717678314e-06
"S23","Wrangell",1.42620249711616e-05
"S16","Wrangell",9.1891389519975e-06
"S24","Wrangell",4.41106523761362e-06
"S21","Wrangell",2.0656848681896e-05
"S18","Wrangell",1.01589133971092e-05
"S19","Wrangell",1.9816825069468e-05
"S09","Wrangell",1.12525192672709e-05
"S10","Ketchikan",6.66675828887392e-06
"N07","Ketchikan",2.59373499427291e-06
"N09","Ketchikan",3.03235903573343e-06
"GBYA","Ketchikan",1.99687245304028e-06
"N02","Ketchikan",2.47144396563663e-06
"N01","Ketchikan",1.97377058653613e-06
"N03","Ketchikan",2.77977998859181e-06
"N04","Ketchikan",3.08007052668164e-06
"N05","Ketchikan",3.21554377189453e-06
"N06","Ketchikan",3.87962155879218e-06
"N10","Ketchikan",3.32359009342735e-06
"N11","Ketchikan",3.87403195802302e-06
"N08","Ketchikan",2.43095808555427e-06
"S05","Ketchikan",1.35324676260323e-05
"S04","Ketchikan",9.46593666703556e-06
"S06","Ketchikan",1.07213839652497e-05
"S03","Ketchikan",9.18402881572474e-06
"S02","Ketchikan",7.98702731060588e-06
"S01","Ketchikan",5.90446622829819e-06
"S07","Ketchikan",4.87155773253649e-06
"S08","Ketchikan",4.63375103520746e-06
"S12","Ketchikan",6.40923712871779e-06
"S11","Ketchikan",6.62803081786915e-06
"S15","Ketchikan",1.98300073852512e-05
"S14","Ketchikan",1.88005012359664e-05
"YAK","Ketchikan",1.43983376176844e-06
"GBYC","Ketchikan",2.32539872478704e-06
"GBYB","Ketchikan",2.12922773343695e-06
"S13","Ketchikan",1.74049685274687e-05
"S20","Ketchikan",8.43848146219542e-06
"S17","Ketchikan",2.95061021321378e-05
"N15","Ketchikan",2.88511961189071e-06
"S22","Ketchikan",7.11949983036626e-06
"N20","Ketchikan",2.77624542839168e-06
"N14","Ketchikan",2.80067673549744e-06
"N16","Ketchikan",2.64359643442746e-06
"N23","Ketchikan",3.43454556514294e-06
"N22","Ketchikan",2.88216357806379e-06
"N13","Ketchikan",3.22501675618476e-06
"N18","Ketchikan",3.06174047908391e-06
"N27","Ketchikan",2.06538644938451e-06
"N21","Ketchikan",2.570425856511e-06
"N26","Ketchikan",2.35167184299996e-06
"N25","Ketchikan",2.42847220301318e-06
"N24","Ketchikan",2.55530970483033e-06
"N17","Ketchikan",3.52227646794422e-06
"N12","Ketchikan",3.57974061399826e-06
"N19","Ketchikan",4.09141229228719e-06
"S23","Ketchikan",4.92696712256841e-06
"S16","Ketchikan",1.95758728720396e-05
"S24","Ketchikan",1.02972245934587e-05
"S21","Ketchikan",1.02896750544835e-05
"S18","Ketchikan",1.41589952442659e-05
"S19","Ketchikan",1.01790648649121e-05
"S09","Ketchikan",5.39571346731057e-06
"S10","Craig",1.33101211954257e-05
"N07","Craig",3.10464945000681e-06
"N09","Craig",3.82825537017358e-06
"GBYA","Craig",2.28503362386964e-06
"N02","Craig",2.99011918894521e-06
"N01","Craig",2.29998764812549e-06
"N03","Craig",3.51217334989453e-06
"N04","Craig",4.09299763949063e-06
"N05","Craig",4.32331799503945e-06
"N06","Craig",5.70898525885214e-06
"N10","Craig",4.28044081721085e-06
"N11","Craig",5.17740448180778e-06
"N08","Craig",2.83551931382887e-06
"S05","Craig",1.16199219581705e-05
"S04","Craig",2.84557326439973e-05
"S06","Craig",1.37804778004947e-05
"S03","Craig",6.24914744563837e-05
"S02","Craig",3.25352188455751e-05
"S01","Craig",1.1657408398366e-05
"S07","Craig",7.63708747577656e-06
"S08","Craig",6.3613886126697e-06
"S12","Craig",1.02705137265295e-05
"S11","Craig",8.91928001248559e-06
"S15","Craig",1.16339636156353e-05
"S14","Craig",8.24482891773405e-06
"YAK","Craig",1.61224059396305e-06
"GBYC","Craig",2.71949282038381e-06
"GBYB","Craig",2.44223693660182e-06
"S13","Craig",1.01815489485955e-05
"S20","Craig",1.53479146637789e-05
"S17","Craig",1.28273396061911e-05
"N15","Craig",3.52647356658856e-06
"S22","Craig",8.36093818698516e-06
"N20","Craig",3.20060626316372e-06
"N14","Craig",3.36911152205846e-06
"N16","Craig",3.13251058731502e-06
"N23","Craig",4.3181105518683e-06
"N22","Craig",3.42864615197632e-06
"N13","Craig",3.82250665101066e-06
"N18","Craig",3.58358896649837e-06
"N27","Craig",2.3047191418965e-06
"N21","Craig",2.99366846506072e-06
"N26","Craig",2.68699993017277e-06
"N25","Craig",2.7629929040976e-06
"N24","Craig",2.9585231594434e-06
"N17","Craig",4.05499437825633e-06
"N12","Craig",4.37664070274804e-06
"N19","Craig",4.88401477137503e-06
"S23","Craig",5.97289759850351e-06
"S16","Craig",2.14856082901531e-05
"S24","Craig",5.45303995201892e-06
"S21","Craig",8.4357328993871e-06
"S18","Craig",7.50157883778978e-06
"S19","Craig",1.40726497980239e-05
"S09","Craig",8.45488754174941e-06
"S10","Hydaburg",9.05465119768836e-06
"N07","Hydaburg",2.79693052707259e-06
"N09","Hydaburg",3.36938259053952e-06
"GBYA","Hydaburg",2.11358005128661e-06
"N02","Hydaburg",2.70244478335009e-06
"N01","Hydaburg",2.12617078285547e-06
"N03","Hydaburg",3.12286297837744e-06
"N04","Hydaburg",3.57865123077158e-06
"N05","Hydaburg",3.75199578180018e-06
"N06","Hydaburg",4.75740870358151e-06
"N10","Hydaburg",3.71567292221205e-06
"N11","Hydaburg",4.37747305004938e-06
"N08","Hydaburg",2.57835981623936e-06
"S05","Hydaburg",1.98137728499614e-05
"S04","Hydaburg",3.49751899550902e-05
"S06","Hydaburg",2.5094714030679e-05
"S03","Hydaburg",2.5019198698132e-05
"S02","Hydaburg",1.55925721281596e-05
"S01","Hydaburg",8.24934619769138e-06
"S07","Hydaburg",6.00515146202284e-06
